Rk,Player,id_player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
502,Troy Williams,willitr02,SF,24,SAC,18,0,286,40,87,.460,14,41,.341,26,46,.565,.540,9,15,.600,9,46,55,10,10,8,8,34,103
503,D.J. Wilson,wilsodj01,PF,22,MIL,34,0,575,65,154,.422,28,79,.354,37,75,.493,.513,11,28,.393,29,116,145,28,12,19,21,60,169
504,Justise Winslow,winslju01,PF,22,MIA,60,47,1783,293,674,.435,86,227,.379,207,447,.463,.499,82,130,.631,60,270,330,258,63,16,127,157,754
505,Christian Wood,woodch01,PF,23,MIL,13,0,62,12,25,.480,3,5,.600,9,20,.450,.540,10,15,.667,4,16,20,2,0,0,3,3,37
506,Delon Wright,wrighde01,PG,26,TOT,62,4,1260,178,417,.427,37,124,.298,141,293,.481,.471,83,97,.856,51,137,188,157,60,23,53,76,476
506,Delon Wright,wrighde01,PG,26,TOR,49,2,897,127,293,.433,30,90,.333,97,203,.478,.485,53,61,.869,39,86,125,110,46,15,37,53,337
506,Delon Wright,wrighde01,PG,26,MEM,13,2,363,51,124,.411,7,34,.206,44,90,.489,.440,30,36,.833,12,51,63,47,14,8,16,23,139
507,Guerschon Yabusele,yabusgu01,PF,23,BOS,34,0,184,26,60,.433,5,21,.238,21,39,.538,.475,13,18,.722,18,22,40,12,7,7,12,28,70
508,Nick Young,youngni01,SG,33,DEN,4,0,37,3,9,.333,3,8,.375,0,1,.000,.500,0,0,,0,1,1,2,0,1,2,4,9
509,Thaddeus Young,youngth01,PF,30,IND,68,68,2086,369,704,.524,42,115,.365,327,589,.555,.554,73,115,.635,162,274,436,165,109,32,97,171,853
510,Trae Young,youngtr01,PG,20,ATL,69,69,2117,423,1030,.411,132,396,.333,291,634,.459,.475,285,346,.824,50,194,244,540,57,14,267,116,1263
511,Cody Zeller,zelleco01,C,26,CHO,49,47,1243,190,345,.551,6,22,.273,184,323,.570,.559,111,141,.787,110,223,333,102,38,41,62,164,497
512,Tyler Zeller,zellety01,C,29,ATL,2,0,11,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,2,4,6,1,0,0,0,4,0
513,Ante Zizic,zizican01,C,22,CLE,48,18,851,143,264,.542,0,0,,143,264,.542,.542,70,98,.714,82,171,253,35,12,17,48,89,356
514,Ivica Zubac,zubaciv01,C,21,TOT,46,25,780,161,294,.548,0,0,,161,294,.548,.548,81,102,.794,82,182,264,48,8,38,51,108,403
514,Ivica Zubac,zubaciv01,C,21,LAL,33,12,516,112,193,.580,0,0,,112,193,.580,.580,57,66,.864,54,108,162,25,4,27,33,73,281
514,Ivica Zubac,zubaciv01,C,21,LAC,13,13,264,49,101,.485,0,0,,49,101,.485,.485,24,36,.667,28,74,102,23,4,11,18,35,122
